Rk,Player,Tm,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26,Signed Using,Guaranteed
227,Jalen Smith,PHO,4245720,"$4,458,000 ","$4,670,160 ","$5,954,454 ",,,1st Round Pick,"$8,703,720 "
228,Cameron Johnson,PHO,4235160,"$4,437,000 ","$5,887,899 ",,,,1st Round Pick,"$8,672,160 "
229,JaVale McGee,DEN,4200000,,,,,,Cap Space,"$4,200,000 "
230,Reggie Bullock,NYK,4200000,,,,,,Room Exception,"$1,000,000 "
231,Shai Gilgeous-Alexander,OKC,4141320,"$5,495,532 ",,,,,1st Round Pick,"$9,636,852 "
232,John Collins,ATL,4137302,,,,,,1st Round Pick,"$4,137,302 "
233,NicolÃ² Melli,DAL,4097561,,,,,,Room Exception,"$4,097,561 "
234,Devin Vassell,SAS,4033440,"$4,235,160 ","$4,437,000 ","$5,887,899 ",,,1st Round Pick,"$8,268,600 "
235,P.J. Washington,CHO,4023600,"$4,215,120 ","$5,808,435 ",,,,1st Round Pick,"$8,238,720 "
236,Willie Cauley-Stein,DAL,4000000,"$4,200,000 ",,,,,MLE,"$8,200,000 "
237,Dorian Finney-Smith,DAL,4000000,"$4,000,000 ",,,,,Bird Rights,"$8,000,000 "
238,Patrick McCaw,TOR,4000000,,,,,,,"$4,000,000 "
239,Terrance Ferguson,NYK,3944013,,,,,,,"$3,944,013 "
240,Miles Bridges,CHO,3934320,"$5,421,493 ",,,,,1st Round Pick,"$9,355,813 "
241,Jarrett Allen,CLE,3909902,,,,,,1st Round Pick,"$3,909,902 "
242,OG Anunoby,TOR,3872215,"$16,071,429 ","$17,357,143 ","$18,642,857 ","$19,928,571 ",,1st Round Pick,"$75,872,215 "
243,Gabriel Deck,OKC,3870000,"$3,670,000 ","$3,480,000 ","$3,480,000 ",,,Cap Space,"$3,870,000 "
244,Tyrese Haliburton,SAC,3831840,"$4,023,600 ","$4,215,120 ","$5,808,435 ",,,1st Round Pick,"$7,855,440 "
245,Tyler Herro,MIA,3822240,"$4,004,280 ","$5,722,116 ",,,,1st Round Pick,"$7,826,520 "
246,Stanley Johnson,TOR,3801000,,,,,,Bi-annual Exception,"$3,801,000 "
247,Jake Layman,MIN,3761085,"$3,940,184 ",,,,,Sign and Trade,"$7,701,269 "
248,Jerome Robinson,WAS,3737520,,,,,,,"$3,737,520 "
249,Danuel House,HOU,3717000,"$3,894,000 ",,,,,MLE,"$7,611,000 "
250,Kira Lewis Jr.,NOP,3640200,"$3,822,240 ","$4,004,280 ","$5,722,116 ",,,1st Round Pick,"$7,462,440 "
251,Romeo Langford,BOS,3631200,"$3,804,360 ","$5,634,257 ",,,,1st Round Pick,"$7,435,560 "
252,Facundo Campazzo,DEN,3623000,"$3,804,150 ",,,,,Bi-Annual Exception,"$7,427,150 "
253,Maurice Harkless,SAC,3623000,,,,,,MLE,"$3,623,000 "
254,Bobby Portis,MIL,3623000,"$3,804,150 ",,,,,Bi-Annual Exception,"$3,623,000 "
255,Wesley Matthews,LAL,3623000,,,,,,Bi-Annual Exception,"$3,623,000 "
256,Kyle Kuzma,LAL,3562178,"$13,000,000 ","$13,000,000 ","$13,000,000 ",,,1st Round Pick,"$29,562,178 "
257,Michael Porter Jr.,DEN,3550800,"$5,258,735 ",,,,,1st Round Pick,"$8,809,535 "
258,Jevon Carter,PHO,3549383,"$3,833,333 ","$4,117,284 ",,,,Early Bird,"$11,500,000 "
259,Tony Bradley,OKC,3542060,,,,,,1st Round Pick,"$3,542,060 "
260,Derrick White,SAS,3516284,"$15,178,571 ","$16,392,857 ","$17,607,143 ","$18,821,429 ",,1st Round Pick,"$71,516,284 "
261,Mirza TeletoviÄ‡,MIL,3500000,,,,,,,"$3,500,000 "
262,Boban MarjanoviÄ‡,DAL,3500000,,,,,,Bi-Annual Exception,"$3,500,000 "
263,T.J. McConnell,IND,3500000,,,,,,Cap Space,"$1,000,000 "
264,Josh Hart,NOP,3491159,,,,,,1st Round Pick,"$3,491,159 "
265,Aaron Nesmith,BOS,3458400,"$3,631,200 ","$3,804,360 ","$5,634,257 ",,,1st Round Pick,"$7,089,600 "
266,Sekou Doumbouya,DET,3449400,"$3,613,680 ","$5,539,771 ",,,,1st Round Pick,"$7,063,080 "
267,Troy Brown Jr.,CHI,3372840,"$5,170,564 ",,,,,1st Round Pick,"$8,543,404 "
